id,name,year,count
63f62801d8966ef293f0f1d8,Asco - Radum,2005,7
63f62801d8966ef293f0f1d8,Asco - Radum,2006,7
63f62801d8966ef293f0f1d8,Asco - Radum,2007,8
63f62801d8966ef293f0f1d8,Asco - Radum,2008,8
63f62801d8966ef293f0f1d8,Asco - Radum,2009,8
63f62801d8966ef293f0f1d8,Asco - Radum,2010,9
63f62801d8966ef293f0f1d8,Asco - Radum,2011,8
63f62801d8966ef293f0f1d8,Asco - Radum,2012,8
63f62801d8966ef293f0f1d8,Asco - Radum,2013,8
63f62801d8966ef293f0f1d8,Asco - Radum,2014,9
63f62801d8966ef293f0f1d8,Asco - Radum,2015,9
63f62801d8966ef293f0f1d8,Asco - Radum,2016,9
63f62801d8966ef293f0f1d8,Asco - Radum,2017,10
63f62801d8966ef293f0f1d8,Asco - Radum,2018,9
63f62801d8966ef293f0f1d8,Asco - Radum,2019,9
63f62801d8966ef293f0f1d8,Asco - Radum,2020,11
63f62801d8966ef293f0f1d8,Asco - Radum,2021,10
63f627d3d8966ef293f0f161,Ashland,1989,119
63f627d3d8966ef293f0f161,Ashland,1990,112
63f627d3d8966ef293f0f161,Ashland,1991,115
63f627d3d8966ef293f0f161,Ashland,1992,108
63f627d3d8966ef293f0f161,Ashland,1993,117
63f627d3d8966ef293f0f161,Ashland,1994,114
63f627d3d8966ef293f0f161,Ashland,1995,120
63f627d3d8966ef293f0f161,Ashland,1996,123
63f627d3d8966ef293f0f161,Ashland,1997,120
63f627d3d8966ef293f0f161,Ashland,1998,122
63f627d3d8966ef293f0f161,Ashland,1999,112
63f627d3d8966ef293f0f161,Ashland,2000,116
63f627d3d8966ef293f0f161,Ashland,2001,112
63f627d3d8966ef293f0f161,Ashland,2002,107
63f627d3d8966ef293f0f161,Ashland,2003,114
63f627d3d8966ef293f0f161,Ashland,2004,111
63f627d3d8966ef293f0f161,Ashland,2005,106
63f627d3d8966ef293f0f161,Ashland,2006,106
63f627d3d8966ef293f0f161,Ashland,2007,111
63f627d3d8966ef293f0f161,Ashland,2008,110
63f627d3d8966ef293f0f161,Ashland,2009,105
63f627d3d8966ef293f0f161,Ashland,2010,98
63f627d3d8966ef293f0f161,Ashland,2011,104
63f627d3d8966ef293f0f161,Ashland,2012,101
63f627d3d8966ef293f0f161,Ashland,2013,108
63f627d3d8966ef293f0f161,Ashland,2014,107
63f627d3d8966ef293f0f161,Ashland,2015,112
63f627d3d8966ef293f0f161,Ashland,2016,105
63f627d3d8966ef293f0f161,Ashland,2017,116
63f627d3d8966ef293f0f161,Ashland,2018,115
63f627d3d8966ef293f0f161,Ashland,2019,111
63f627d3d8966ef293f0f161,Ashland,2020,126
63f627d3d8966ef293f0f161,Ashland,2021,120
63f627f7d8966ef293f0f1ba,Autumn Valley,1989,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1990,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1991,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1992,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1993,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1994,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1995,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1996,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1997,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1998,0
63f627f7d8966ef293f0f1ba,Autumn Valley,1999,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2000,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2001,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2002,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2003,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2004,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2005,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2006,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2007,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2008,0
63f627f7d8966ef293f0f1ba,Autumn Valley,2009,0
